scenario,age,senescent_fraction,sasp_output,niche_regenerative_capacity,division_rate
Control,10,0.0123,0.0074,0.9939,0.8750
Control,20,0.0150,0.0090,0.9925,0.8002
Control,30,0.0181,0.0109,0.9909,0.7286
Control,40,0.0217,0.0130,0.9891,0.6603
Control,50,0.0258,0.0155,0.9871,0.5954
Control,60,0.0304,0.0183,0.9848,0.5337
Control,70,0.0356,0.0213,0.9822,0.4755
Control,80,0.0413,0.0248,0.9793,0.4206
Control,90,0.0476,0.0286,0.9762,0.3691
Control,100,0.0545,0.0327,0.9727,0.3210
Senolytic,10,0.0123,0.0074,0.9939,0.8750
Senolytic,20,0.0150,0.0090,0.9925,0.8002
Senolytic,30,0.0181,0.0109,0.9909,0.7286
Senolytic,40,0.0217,0.0130,0.9891,0.6603
Senolytic,50,0.0258,0.0155,0.9871,0.5954
Senolytic,60,0.0214,0.0129,0.9893,0.5362
Senolytic,70,0.0139,0.0083,0.9931,0.4807
Senolytic,80,0.0105,0.0063,0.9947,0.4272
Senolytic,90,0.0093,0.0056,0.9954,0.3763
Senolytic,100,0.0091,0.0054,0.9955,0.3285
