parameter,base_value,delta_lifespan_hi,delta_lifespan_lo,delta_damage60_hi,delta_damage60_lo,delta_frailty70_hi,delta_frailty70_lo
midlife_multiplier,1.600000,-12.7502,37.7276,0.0915,-0.0903,-0.8971,-0.1978
senescence_threshold,0.750000,0.0000,-25.6838,0.0000,-0.4252,0.0000,-0.8971
cep170_loss_rate,0.006700,-7.7344,21.1828,0.0314,-0.0313,0.0551,-0.0660
cep89_loss_rate,0.008400,-3.8631,17.3443,0.0394,-0.0393,0.0470,-0.0835
ninein_loss_rate,0.008400,-3.8631,17.3443,0.0394,-0.0393,0.0470,-0.0835
cep164_loss_rate,0.011300,-0.1342,8.8022,0.0235,-0.0528,0.0012,-0.1126
ros_feedback_coeff,0.120000,-1.1417,1.1937,0.0063,-0.0062,0.0073,-0.0086
phospho_dysreg_rate,0.004200,-0.4846,0.4545,0.0197,-0.0197,0.0055,-0.0054
acetylation_rate,0.005900,-0.4271,0.4162,0.0277,-0.0276,0.0045,-0.0045
base_ros_damage_rate,0.007600,-0.3450,0.3176,0.0089,-0.0088,0.0036,-0.0034
aggregation_rate,0.005900,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000
