age,normal_v,progeria_v,normal_temp,progeria_temp,entropy_normal,entropy_progeria
0.0,0.2399,0.2847,36.6360,36.6360,0.035656,0.178376
1.0,0.2597,0.3647,36.6402,36.6424,0.107002,0.534635
2.0,0.2858,0.4486,36.6443,36.6488,0.214076,1.068293
3.0,0.3163,0.5248,36.6485,36.6552,0.356914,1.778872
4.0,0.3493,0.5897,36.6526,36.6616,0.535558,2.665913
5.0,0.3832,0.6439,36.6568,36.6681,0.750048,3.728963
6.0,0.4167,0.6889,36.6609,36.6746,1.000430,4.967593
7.0,0.4488,0.7269,36.6651,36.6811,1.286751,6.381402
8.0,0.4791,0.7594,36.6693,36.6876,1.609062,7.970012
9.0,0.5072,0.7876,36.6734,36.6941,1.967417,9.733079
10.0,0.5330,0.8126,36.6776,36.7007,2.361873,11.670304
11.0,0.5567,0.8349,36.6818,36.7073,2.792495,13.781432
12.0,0.5783,0.8552,36.6859,36.7139,3.259351,16.066257
13.0,0.5979,0.8737,36.6901,36.7205,3.762516,18.524645
14.0,0.6158,0.8909,36.6943,36.7272,4.302071,21.156530
15.0,0.6321,0.9069,36.6984,36.7339,4.878104,23.961924
16.0,0.6470,0.9211,36.7026,36.7406,5.490715,26.936724
17.0,0.6607,0.9320,36.7068,36.7472,6.140011,30.068352
18.0,0.6733,0.9422,36.7110,36.7534,6.826112,33.357403
19.0,0.6848,0.9518,36.7151,36.7595,7.549149,36.804718
20.0,0.6956,0.9609,36.7193,36.7657,8.309266,40.411304
21.0,0.7055,0.9694,36.7235,36.7720,9.106627,44.178226
22.0,0.7148,0.9731,36.7277,36.7782,9.941408,48.083084
23.0,0.7235,0.9765,36.7319,36.7835,10.813808,52.127796
24.0,0.7317,,36.7361,,11.724048,
25.0,0.7394,,36.7403,,12.672365,
26.0,0.7468,,36.7445,,13.659030,
27.0,0.7537,,36.7487,,14.684337,
28.0,0.7603,,36.7529,,15.748610,
29.0,0.7667,,36.7572,,16.852207,
30.0,0.7728,,36.7614,,17.995514,
31.0,0.7786,,36.7656,,19.178957,
32.0,0.7843,,36.7699,,20.402992,
33.0,0.7898,,36.7741,,21.668121,
34.0,0.7952,,36.7784,,22.974873,
35.0,0.8004,,36.7827,,24.323814,
36.0,0.8055,,36.7869,,25.715549,
37.0,0.8105,,36.7912,,27.150715,
38.0,0.8154,,36.7955,,28.629974,
39.0,0.8202,,36.7998,,30.154015,
40.0,0.8249,,36.8042,,31.723545,
41.0,0.8296,,36.8085,,33.339291,
42.0,0.8343,,36.8129,,35.001984,
43.0,0.8389,,36.8172,,36.712353,
44.0,0.8434,,36.8216,,38.471130,
45.0,0.8479,,36.8260,,40.279034,
46.0,0.8524,,36.8304,,42.136772,
47.0,0.8569,,36.8348,,44.045021,
48.0,0.8613,,36.8393,,46.004436,
49.0,0.8657,,36.8437,,48.015636,
50.0,0.8700,,36.8481,,50.079216,
51.0,0.8743,,36.8526,,52.195728,
52.0,0.8786,,36.8571,,54.365685,
53.0,0.8828,,36.8616,,56.589565,
54.0,0.8870,,36.8661,,58.867813,
55.0,0.8912,,36.8706,,61.200821,
56.0,0.8954,,36.8751,,63.588959,
57.0,0.8995,,36.8796,,66.032562,
58.0,0.9035,,36.8842,,68.531929,
59.0,0.9075,,36.8887,,71.087326,
60.0,0.9115,,36.8932,,73.698997,
61.0,0.9155,,36.8978,,76.367149,
62.0,0.9193,,36.9024,,79.091980,
63.0,0.9232,,36.9069,,81.873650,
64.0,0.9270,,36.9115,,84.712311,
65.0,0.9308,,36.9161,,87.608086,
66.0,0.9345,,36.9206,,90.561089,
67.0,0.9382,,36.9252,,93.571426,
68.0,0.9418,,36.9298,,96.639183,
69.0,0.9450,,36.9344,,99.762070,
70.0,0.9475,,36.9389,,102.937256,
71.0,0.9501,,36.9433,,106.164803,
72.0,0.9526,,36.9477,,109.444786,
73.0,0.9551,,36.9521,,112.777283,
74.0,0.9576,,36.9565,,116.162376,
75.0,0.9600,,36.9609,,119.600121,
76.0,0.9623,,36.9653,,123.090569,
77.0,0.9647,,36.9697,,126.633789,
78.0,0.9670,,36.9741,,130.229828,
79.0,0.9693,,36.9785,,133.878738,
80.0,0.9715,,36.9829,,137.580566,
81.0,0.9738,,36.9873,,141.335358,
82.0,0.9759,,36.9917,,145.143158,
83.0,0.9781,,36.9961,,149.003998,
84.0,0.9802,,37.0006,,152.917938,
85.0,0.9823,,37.0050,,156.884995,
86.0,0.9843,,37.0094,,160.905212,
87.0,0.9855,,37.0138,,164.973755,
